,Name,Album,Artist
0,INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X
1,UP,UP,INNA
2,Woman,Planet Her,Doja Cat
3,Shivers,Shivers,Ed Sheeran
4,My Universe,My Universe,Coldplay
5,Leave The Door Open,Leave The Door Open,Bruno Mars
6,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat
7,Don't Be Shy,Don't Be Shy,Tiësto
8,Butter,Butter,BTS
9,Love Again,Future Nostalgia,Dua Lipa
10,MONEY,LALISA,LISA
11,The Motto,The Motto,Tiësto
12,Don't Go Yet,Don't Go Yet,Camila Cabello
13,Sweet Dreams - Radio Killer Remix,Sweet Dreams (Radio Killer Remix),Andra
14,Permission to Dance,Butter / Permission to Dance,BTS
15,My Head & My Heart,Heaven & Hell,Ava Max
16,Skate,Skate,Bruno Mars
17,Acapulco,Acapulco,Jason Derulo
18,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Riton
19,I AM WOMAN,I AM WOMAN,Emmy Meli
20,24/7,CECE,Celina Sharma
21,Never Going Home,Never Going Home,Kungs
22,Higher Power,Higher Power,Coldplay
23,34+35,Positions,Ariana Grande
24,Follow You,Follow You / Cutthroat,Imagine Dragons
25,Hold On,Hold On,Justin Bieber
26,HIT IT (feat. Saweetie & Lele Pons),HIT IT (feat. Saweetie & Lele Pons),Black Eyed Peas
27,Cover Me In Sunshine,Cover Me In Sunshine,P!nk
28,Boyz (feat. Nicki Minaj),Boyz (feat. Nicki Minaj),Jesy Nelson
29,In My Mind,In My Mind,Alok
30,Young Right Now,Young Right Now,Robin Schulz
31,Run,Run,OneRepublic
32,Someday,Human (Deluxe),OneRepublic
33,Rumors (feat. Cardi B),Rumors (feat. Cardi B),Lizzo
34,Drive (feat. Wes Nelson),Drive (feat. Wes Nelson),Clean Bandit
35,Summer of Love (Shawn Mendes & Tainy),Summer Of Love,Shawn Mendes
36,Dynamite,Dynamite,Sean Paul
37,Can I Get It,30,Adele
38,Anyone,Anyone,Justin Bieber
39,On The Ground,R,ROSÉ
40,rocket science,rocket science,vaultboy
41,I GUESS I'M IN LOVE,I GUESS I'M IN LOVE,Clinton Kane
42,Holiday,Holiday,KSI
43,Electric - Pokemon 25 Version,Electric,Katy Perry
44,Message In A Bottle (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift
45,Girl From Rio,Girl From Rio,Anitta
46,By Your Side (feat. Tom Grennan),By Your Side (feat. Tom Grennan),Calvin Harris
47,I Feel Good,I Feel Good,Pitbull
48,BED,BED,Joel Corry
49,Floating Through Space,Floating Through Space,Sia
50,Ride for Me,Ride for Me,B Young
51,LENTO (with Sean Paul & Mozart La Para feat. Cazzu),LENTO (with Sean Paul & Mozart La Para feat. Cazzu),Tainy
52,A Second to Midnight,A Second to Midnight,Kylie Minogue
53,Off My Face,Justice,Justin Bieber
54,Angel Baby,Angel Baby,Troye Sivan
55,Treat People With Kindness,Fine Line,Harry Styles
56,Fireworks (feat. Moss Kena & The Knocks),Fireworks (feat. Moss Kena & The Knocks),Purple Disco Machine
57,Seaside,"Diane Warren: The Cave Sessions, Vol. 1",Diane Warren
58,September,September,James Arthur
59,Between Us,Between Us,Little Mix
60,Sweet Dreams,Sweet Dreams,Alan Walker
61,In Another Life,In Another Life,JJD
62,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),Red (Taylor's Version),Taylor Swift
63,Emily,Emily,James Arthur
64,Blessed & Free,Blessed & Free,Kane Brown
65,Hey Boy (feat. Burna Boy),Hey Boy (feat. Burna Boy),Sia
66,Starlight,Starlight,Westlife
67,I Don't Wanna Talk (I Just Wanna Dance),I Don't Wanna Talk (I Just Wanna Dance),Glass Animals
68,First Times,=,Ed Sheeran
69,Butterflies,Butterflies,MAX
70,Let’s Go Home Together,Let’s Go Home Together (Luca Schreiner Remix),Ella Henderson
71,You for Me,You for Me,Sigala
72,Titans (feat. Sia & Labrinth),Music Is The Weapon (Reloaded),Major Lazer
73,Solar Power,Solar Power,Lorde
74,Sunshine,Sunshine,OneRepublic
75,Home,Home,Klangkarussell
76,Love (Sweet Love),Love (Sweet Love),Little Mix
77,Chain My Heart,Chain My Heart,Topic
78,Sandman,=,Ed Sheeran
79,Mood Ring,Mood Ring,Lorde
